target	target_with_keyphrase_count	target_count	keyphrase_count	db_article_count	fet_p_value	target_and_keyphrase_ratio	fet_p_value_and_ratio	phenotypes
DRUG_532:ETANERCEPT	3026	5974	145724	31847923	0.0|4.2453208520548274e-102	0.5065282892534315|0.01891529963173753	322.70978905287086|99.64890270636887	arthritis|synovial
DRUG_219:Tocilizumab	1482	3142	145724	31847923	0.0|1.0980779490936582e-52	0.4716740929344367|0.018459579885423297	322.67882737039116|50.22558864245377	arthritis|synovial
DRUG_527:ADALIMUMAB	2338	5987	145724	31847923	0.0|6.840889884397278e-47	0.39051277768498416|0.011190913646233506	322.5968205961319|44.21375294477283	arthritis|synovial
DRUG_402:Sulfasalazine	835	2546	145724	31847923	0.0|9.043914857045264e-25	0.3279654359780047|0.012568735271013355	322.5210134236178|22.14293511392796	arthritis|synovial
DRUG_406:Anakinra	454	1512	145724	31847923	0.0|1.65566556103122e-22	0.3002645502645503|0.016534391534391533	322.4826894091437|19.99941560224832	arthritis|synovial
DRUG_478:ANAKINRA	454	1512	145724	31847923	0.0|1.65566556103122e-22	0.3002645502645503|0.016534391534391533	322.4826894091437|19.99941560224832	arthritis|synovial
DRUG_530:INFLIXIMAB	2914	10680	145724	31847923	0.0|1.807663041325861e-91	0.2728464419475655|0.01198501872659176	322.44110364219324|88.82152123823369	arthritis|synovial
DRUG_446:SECUKINUMAB	247	956	145724	31847923	0.0|5.111785912897188e-08	0.2583682008368201|0.010460251046025104	322.41742440843535|5.3109694509136105	arthritis|synovial
DRUG_506:METHOTREXATE	8004	33448	145724	31847923	0.0|1.1625411733792943e-239	0.23929681894283664|0.010792872518536235	322.38412227287364|236.96772870424883	arthritis|synovial
DRUG_205:Ustekinumab	307	1547	145724	31847923	0.0|0.06459773128999513	0.19844861021331608|0.002585649644473174	322.3028334092296|-1.3976475879587817	arthritis|synovial
DRUG_635:USTEKINUMAB	307	1547	145724	31847923	0.0|0.06459773128999513	0.19844861021331608|0.002585649644473174	322.3028334092296|-1.3976475879587817	arthritis|synovial
DRUG_462:HYDROXYCHLOROQUINE	802	4549	145724	31847923	0.0|2.7927908157439755e-13	0.1763024840624313|0.005935370411079358	322.251443778906|10.327409419723377	arthritis|synovial
DRUG_479:NAPROXEN	517	4889	145724	31847923	0.0|6.508146112496882e-49	0.10574759664553078|0.013090611577009614	322.0294558532819|46.30350264212659	arthritis|synovial
DRUG_492:RITUXIMAB	1369	18293	145724	31847923	0.0|8.244717062484785e-14	0.07483736948559558|0.003115945990269502	321.87930386120803|10.577414164929733	arthritis|synovial
DRUG_481:ROFECOXIB	216	1820	145724	31847923	6.5198733560424235e-223|3.474311228652641e-07	0.11868131868131868|0.006593406593406593	221.26014320321707|4.278241138127568	arthritis|synovial
DRUG_231:MCP-1	405	13843	145724	31847923	2.4425586089564373e-182|1.1907754540058651e-172	0.029256664017915192|0.015386838113125767	180.07837981094838|170.1113195107842	arthritis|synovial
DRUG_398:Canakinumab	130	524	145724	31847923	1.4210471141772745e-179|0.09180486955516315	0.2480916030534351|0.003816793893129771	178.24200358831894|-1.3811670091751063	arthritis|synovial
DRUG_640:CANAKINUMAB	130	524	145724	31847923	1.4210471141772745e-179|0.09180486955516315	0.2480916030534351|0.003816793893129771	178.24200358831894|-1.3811670091751063	arthritis|synovial
DRUG_488:CYCLOSPORINE	511	24569	145724	31847923	5.989156683814834e-167	0.02079856730025642	164.54066774489883	arthritis
DRUG_498:ASPIRIN	620	36929	145724	31847923	4.734989495567812e-158|0.0009507023486872817	0.016788973435511386|0.0015164234070784478	155.54970512207265|0.20277591262631534	arthritis|synovial
DRUG_383:Sarilumab	76	124	145724	31847923	7.942648826065164e-144|3.263576684096522e-09	0.6129032258064516|0.04838709677419355	142.88742654591294|7.171035743474015	arthritis|synovial
DRUG_213:Ixekizumab	100	440	145724	31847923	2.7114728194484406e-134	0.22727272727272727	132.9233420682082	arthritis
DRUG_449:IXEKIZUMAB	100	440	145724	31847923	2.7114728194484406e-134	0.22727272727272727	132.9233420682082	arthritis
DRUG_622:DEXAMETHASONE	550	44814	145724	31847923	6.439285606422485e-89|1.9935315315205088e-78	0.012272950417280314|0.0048199223456955416	86.28011129156647|75.38341693207654	arthritis|synovial
DRUG_230:Rilonacept	41	115	145724	31847923	2.2613056410043055e-65|0.00567445720608199	0.3565217391304348|0.017391304347826087	64.1977267502478|0.4864078301813519	arthritis|synovial
DRUG_461:RILONACEPT	41	115	145724	31847923	2.2613056410043055e-65|0.00567445720608199	0.3565217391304348|0.017391304347826087	64.1977267502478|0.4864078301813519	arthritis|synovial
DRUG_40:Sirukumab	31	41	145724	31847923	3.1836446171827755e-64|0.038799455729478086	0.7560975609756098|0.024390243902439025	63.375653254622556|-0.2016094901659473	arthritis|synovial
DRUG_522:SIRUKUMAB	31	41	145724	31847923	3.1836446171827755e-64|0.038799455729478086	0.7560975609756098|0.024390243902439025	63.375653254622556|-0.2016094901659473	arthritis|synovial
DRUG_234:Brodalumab	49	235	145724	31847923	1.1309630742492162e-64	0.20851063829787234	63.26567979224034	arthritis
DRUG_451:BRODALUMAB	49	235	145724	31847923	1.1309630742492162e-64	0.20851063829787234	63.26567979224034	arthritis
DRUG_512:IFOSFAMIDE	77	4669	30724	31847923	9.058027929855719e-66	0.01649175412293853	63.260233195773125	synovial
DRUG_444:FOLIC ACID	234	15572	145724	31847923	1.0005162892975517e-52	0.01502697148728487	50.176647298632716	arthritis
DRUG_400:Glucosamine	82	8423	30724	31847923	1.8611379085693686e-52|4.741179388614761e-48	0.009735248723732636|0.018876884720408407	49.718568496556244|45.60004393590928	synovial|arthritis
DRUG_646:GLUCOSAMINE	82	8423	30724	31847923	1.8611379085693686e-52|4.741179388614761e-48	0.009735248723732636|0.018876884720408407	49.718568496556244|45.60004393590928	synovial|arthritis
DRUG_480:TACROLIMUS	207	13596	145724	31847923	1.0815599653677714e-47	0.015225066195939982	45.148508586338174	arthritis
DRUG_592:MISOPROSTOL	108	3954	145724	31847923	2.8217364843569996e-47|0.09213869833492591	0.027314112291350532|0.0017703591299949419	44.98587063698512|-1.716380697543048	arthritis|synovial
DRUG_47:Celastrol	45	629	145724	31847923	5.517760763838964e-38|2.6990647748088812e-12	0.07154213036565978|0.019077901430842606	36.1127990016898|9.849317293295005	arthritis|synovial
DRUG_648:CELASTROL	45	629	145724	31847923	5.517760763838964e-38|2.6990647748088812e-12	0.07154213036565978|0.019077901430842606	36.1127990016898|9.849317293295005	arthritis|synovial
